                     file line col                linter
307      R/build_matrix.R   77  12         commas_linter
308      R/build_matrix.R   77  18         commas_linter
309      R/build_matrix.R   77  33         commas_linter
310      R/build_matrix.R   77  41         commas_linter
311      R/build_matrix.R   77  48         commas_linter
312      R/build_matrix.R   77  56         commas_linter
313      R/build_matrix.R   90  81    line_length_linter
314      R/build_matrix.R  107  81    line_length_linter
315      R/build_matrix.R  108  81    line_length_linter
316      R/build_matrix.R  109  81    line_length_linter
317      R/build_matrix.R  110  81    line_length_linter
318      R/build_matrix.R  111  81    line_length_linter
319      R/build_matrix.R  112  81    line_length_linter
320      R/build_matrix.R  113  81    line_length_linter
321      R/build_matrix.R  114  81    line_length_linter
322      R/build_matrix.R  115  81    line_length_linter
323      R/build_matrix.R  116  81    line_length_linter
324      R/build_matrix.R  117  81    line_length_linter
325      R/build_matrix.R  119  81    line_length_linter
326      R/build_matrix.R  120  81    line_length_linter
327      R/build_matrix.R  121  81    line_length_linter
328      R/build_matrix.R  122  81    line_length_linter
329      R/build_matrix.R  123  81    line_length_linter
330      R/build_matrix.R  124  81    line_length_linter
331      R/build_matrix.R  125  81    line_length_linter
332      R/build_matrix.R  126  81    line_length_linter
333      R/build_matrix.R  127  81    line_length_linter
334      R/build_matrix.R  128  81    line_length_linter
335      R/build_matrix.R  129  81    line_length_linter
336      R/build_matrix.R  130  81    line_length_linter
337      R/build_matrix.R  131  81    line_length_linter
338      R/build_matrix.R  132  81    line_length_linter
339      R/build_matrix.R  133  81    line_length_linter
340      R/build_matrix.R  134  81    line_length_linter
341      R/build_matrix.R  135  81    line_length_linter
342      R/build_matrix.R  136  81    line_length_linter
343      R/build_matrix.R  137  81    line_length_linter
344      R/build_matrix.R  138  81    line_length_linter
345      R/build_matrix.R  140  81    line_length_linter
346      R/build_matrix.R  141  81    line_length_linter
347      R/build_matrix.R  142  81    line_length_linter
348      R/build_matrix.R  143  81    line_length_linter
349      R/build_matrix.R  144  81    line_length_linter
350      R/build_matrix.R  145  81    line_length_linter
351      R/build_matrix.R  146  81    line_length_linter
352      R/build_matrix.R  149  81    line_length_linter
353               R/bwb.R   12  81    line_length_linter
354               R/bwb.R   13  81    line_length_linter
355               R/bwb.R   14  81    line_length_linter
356               R/bwb.R   32  81    line_length_linter
357               R/bwb.R   34  81    line_length_linter
358               R/bwb.R   47  29         commas_linter
359               R/bwb.R   47  37         commas_linter
360               R/bwb.R   47  41         commas_linter
361               R/bwb.R   47  45         commas_linter
362               R/bwb.R   47  50         commas_linter
363               R/bwb.R   47  55         commas_linter
364               R/bwb.R   47  59         commas_linter
365               R/bwb.R   47  64         commas_linter
366               R/bwb.R   48  26         commas_linter
367               R/bwb.R   48  31         commas_linter
368               R/bwb.R   48  36         commas_linter
369               R/bwb.R   48  40         commas_linter
370               R/bwb.R   48  45         commas_linter
371               R/bwb.R   48  50         commas_linter
372               R/bwb.R   48  55         commas_linter
373               R/bwb.R   48  63         commas_linter
374               R/bwb.R   49  81    line_length_linter
375               R/bwb.R   52  81    line_length_linter
376               R/bwb.R   72  81    line_length_linter
377               R/bwb.R   73  81    line_length_linter
378               R/bwb.R   74  81    line_length_linter
379               R/bwb.R   75  81    line_length_linter
380               R/bwb.R   79  81    line_length_linter
381               R/bwb.R  122  81    line_length_linter
382               R/bwb.R  131  81    line_length_linter
383               R/bwb.R  170  81    line_length_linter
384               R/bwb.R  174   6    indentation_linter
385               R/bwb.R  214  81    line_length_linter
386         R/constants.R    9   1    object_name_linter
387     R/converte_unit.R   21   5    object_name_linter
388     R/converte_unit.R   26  25         return_linter
389     R/converte_unit.R   59  81    line_length_linter
390     R/converte_unit.R   67  54         commas_linter
391     R/converte_unit.R   80   3    object_name_linter
392     R/converte_unit.R   85   5    object_name_linter
393     R/converte_unit.R   86   5    object_name_linter
